party-name;regional;telefone;endereco;website;email;naics;
CWR CONSULTORIA E ADMINISTRAÇÃO LTDA;Belo Horizonte;+55 31 32929814;Rua dos Timbiras, 1560, - 803- Belo horizonte/MG CEP: 30140061;http://www.cwronline.com.br;pedro@cwronline.com.br;Produtos e Serviços - Empreitada e mão de obra, serviços;
CEVA SAÚDE ANIMAL LTDA.;Campinas;+55 19 3833-7700;Rua Manoel Joaquim Filho, 303, - PaulÍnia/SP CEP: 13140000;http://www.ceva.com;cevabrasil@ceva.com;Produtos e Serviços - Produtos animais, S.0.C.;
TRADECORP DO BRASIL LTDA.;Campinas;+55 19 3709-3400;Rua Doutor Emilio Ribas, 600 - Cambuí - Campinas/SP, - Campinas/SP CEP: 13025141;http://www.tradecorpbrasil.com.br;adm@tradecorpbrasil.com.br;Produtos e Serviços - Sementes oleosas e grãos, cultivo combinado;
LOS GROBO CEAGRO DO BRASIL S.A.;Goiânia;+55 62 30182700;Av. T63, 1296, 16 andar, - 11B- GoiÂnia/GO CEP: 74230100;http://www.ceagrobrasil.com;ana.mesquita@ceagrobrasil.com;Produtos e Serviços - Sementes oleosas e grãos, cultivo combinado;
AGRINVEST BRASIL S/A.;Ribeirão Preto;+55 16 3515-1300;Avenida Brás Olaia Acosta, 727, - Sala 1908- RibeirÃo preto/SP CEP: 14026-040;;almeida@agrinvestbrasil.com.br;Produtos e Serviços - Soja, cultivo;
BIO SOJA FERTILIZANTES LTDA;Ribeirão Preto;+55 16 38108000;Av. Marginal Esquerda, 2000, - Distrito Industrial- SÃo joaquim da barra/SP CEP: 14600000;;;;
C.R.I. GENÉTICA BRASIL LTDA.;Ribeirão Preto;+55 16 33623888;Rua Dr. Procópio de Toledo Malta, 145, - SÃo carlos/SP CEP: 13563002;http://www.CRIgenetica.com.br;ssaud@crigenetica.com.br;Produtos e Serviços - Produtos animais, S.0.C.;
EQUIPALCOOL SISTEMAS LTDA.;Ribeirão Preto;+55 16 35138000;Rua Santo Onofre, 299, - São João- SertÃozinho/SP CEP: 14177005;http://www.equipalcool.com.br;alessandra@equipalcool.com.br;Produtos e Serviços - Cana-de-açúcar, cultivo;
LAGOA DA SERRA LTDA.;Ribeirão Preto;+55 16 21052299;Rod. Carlos Tonani, - Km 88- SertÃozinho/SP CEP: 14174000;;rh@crvlagoa.com.br;Produtos e Serviços - Animais, produção, atividades de suporte;
MARANGATU SEMENTES LTDA;Ribeirão Preto;+55 16 39691159;Rodovia Anhaguera, - Km 313- RibeirÃo preto/SP CEP: 14001970;http://www.marangatu.com.br;rsouza@marangatu.com.br;Produtos e Serviços - Sementes oleosas e grãos, cultivo combinado;
OUROFINO SAÚDE ANIMAL LTDA.;Ribeirão Preto;+55 16 35182000;Rod. Anhanguera, SP 330, - Km 298- Cravinhos/SP CEP: 14140000;http://www.ourofino.com;ourofino@ourofino.com;Produtos e Serviços - Produtos animais, S.0.C.;
UZINAS CHIMICAS BRASILEIRAS S.A.;Ribeirão Preto;+55 16 32094222;Praça Dr. Joaquim Batista, 150, - Jaboticabal/SP CEP: 14870090;http://www.ucbvet.com.br;rodrigofaleiros@ucbvet.com.br;Produtos e Serviços - Produtos animais, S.0.C.;
ÁGUA SANTA ASSOCIADOS CONS. EVEN. DE AGRONEGÓCIOS LTDA.;São Paulo;+55 11 999749190;Av. Vereador Jose Diniz, 2348 sala 09 - Santo Amaro - Sao Paulo - SP, - Sao paulo/SP CEP: 04604-000;http://www.aguasantacafe.com.br;sbarroso@aguasantacafe.com.br;Produtos e Serviços - Plantio de grãos, S.0.C.;
CARAMURU ALIMENTOS S.A.;São Paulo;+55 11 3704-3770;Rua Iguatemi, 448, - 5º Andar, Sl.501- Sao paulo/SP CEP: 01451010;http://www.caramuru.com;diretoria@caramuru.com;Produtos e Serviços - Soja, cultivo - Sementes oleaginosas, processamento, S.0.C.;
DATAGRO PUBLICAÇÕES LTDA.;São Paulo;+55 11 4133-3944;Calçada das Magnólias, 56, - Barueri/SP CEP: 06453032;http://www.datagro.com.br;datagro@datagro.com.br;Produtos e Serviços - Açúcar de beterraba, cultivo - Cana-de-açúcar, usinas - Açúcar de cana, refinação;
UNICAFÉ CIA. DE COMÉRCIO EXTERIOR;São Paulo;+55 27 21235858;Av. Nossa Senhora Navegantes, 675, - Cj. 500- VitÓria/ES CEP: 29056900;;unicafe@unicafe.com.br;Produtos e Serviços - Plantio de grãos, S.0.C.;
VALLÉE S.A.;São Paulo;+55 11 55044333;Av. Eng.Luiz Carlos Berrini, 716, - 2º Andar- Sao paulo/SP CEP: 04571000;http://www.vallee.com.br;rodrigo.ferreira@valle.com.br;Produtos e Serviços - Serviços sem outra classificação;
